"id" "long" "lat" "order" "hole" "piece" "group" "key_new" "V1" "V2" "key_orig" "LAD13CD" "LAD13CDO" "LAD13NM" "LAD13NMW" "CENTROIX" "CENTROIY" "row" "col"
"50" "7" -2.37434266 53.63608846 50 FALSE "1" "7.1" "-2.30829055049577_53.5979532566439" -2.30829055049577 53.5979532566439 "-2.31253747_53.58786657" "E08000002" "00BM" "Bury" NA -2.31253747 53.58786657 2 8
"51" "7" -2.30829055 53.67422366 51 FALSE "1" "7.1" "-2.30829055049577_53.5979532566439" -2.30829055049577 53.5979532566439 "-2.31253747_53.58786657" "E08000002" "00BM" "Bury" NA -2.31253747 53.58786657 2 8
"52" "7" -2.24223844 53.63608846 52 FALSE "1" "7.1" "-2.30829055049577_53.5979532566439" -2.30829055049577 53.5979532566439 "-2.31253747_53.58786657" "E08000002" "00BM" "Bury" NA -2.31253747 53.58786657 2 8
"53" "7" -2.24223844 53.55981805 53 FALSE "1" "7.1" "-2.30829055049577_53.5979532566439" -2.30829055049577 53.5979532566439 "-2.31253747_53.58786657" "E08000002" "00BM" "Bury" NA -2.31253747 53.58786657 2 8
"54" "7" -2.30829055 53.52168285 54 FALSE "1" "7.1" "-2.30829055049577_53.5979532566439" -2.30829055049577 53.5979532566439 "-2.31253747_53.58786657" "E08000002" "00BM" "Bury" NA -2.31253747 53.58786657 2 8
"55" "7" -2.37434266 53.55981805 55 FALSE "1" "7.1" "-2.30829055049577_53.5979532566439" -2.30829055049577 53.5979532566439 "-2.31253747_53.58786657" "E08000002" "00BM" "Bury" NA -2.31253747 53.58786657 2 8
"56" "7" -2.37434266 53.63608846 56 FALSE "1" "7.1" "-2.30829055049577_53.5979532566439" -2.30829055049577 53.5979532566439 "-2.31253747_53.58786657" "E08000002" "00BM" "Bury" NA -2.31253747 53.58786657 2 8
"57" "8" -2.44039477 53.52168285 57 FALSE "1" "8.1" "-2.37434265918895_53.4835476484403" -2.37434265918895 53.4835476484403 "-2.37009108_53.48951173" "E08000006" "00BR" "Salford" NA -2.37009108 53.48951173 6 4
"58" "8" -2.37434266 53.55981805 58 FALSE "1" "8.1" "-2.37434265918895_53.4835476484403" -2.37434265918895 53.4835476484403 "-2.37009108_53.48951173" "E08000006" "00BR" "Salford" NA -2.37009108 53.48951173 6 4
"59" "8" -2.30829055 53.52168285 59 FALSE "1" "8.1" "-2.37434265918895_53.4835476484403" -2.37434265918895 53.4835476484403 "-2.37009108_53.48951173" "E08000006" "00BR" "Salford" NA -2.37009108 53.48951173 6 4
"60" "8" -2.30829055 53.44541245 60 FALSE "1" "8.1" "-2.37434265918895_53.4835476484403" -2.37434265918895 53.4835476484403 "-2.37009108_53.48951173" "E08000006" "00BR" "Salford" NA -2.37009108 53.48951173 6 4
"61" "8" -2.37434266 53.40727724 61 FALSE "1" "8.1" "-2.37434265918895_53.4835476484403" -2.37434265918895 53.4835476484403 "-2.37009108_53.48951173" "E08000006" "00BR" "Salford" NA -2.37009108 53.48951173 6 4
"62" "8" -2.44039477 53.44541245 62 FALSE "1" "8.1" "-2.37434265918895_53.4835476484403" -2.37434265918895 53.4835476484403 "-2.37009108_53.48951173" "E08000006" "00BR" "Salford" NA -2.37009108 53.48951173 6 4
"63" "8" -2.44039477 53.52168285 63 FALSE "1" "8.1" "-2.37434265918895_53.4835476484403" -2.37434265918895 53.4835476484403 "-2.37009108_53.48951173" "E08000006" "00BR" "Salford" NA -2.37009108 53.48951173 6 4
"64" "9" -2.50644688 53.63608846 64 FALSE "1" "9.1" "-2.44039476788213_53.5979532566439" -2.44039476788213 53.5979532566439 "-2.4669355_53.57861555" "E08000001" "00BL" "Bolton" NA -2.4669355 53.57861555 1 7
"65" "9" -2.44039477 53.67422366 65 FALSE "1" "9.1" "-2.44039476788213_53.5979532566439" -2.44039476788213 53.5979532566439 "-2.4669355_53.57861555" "E08000001" "00BL" "Bolton" NA -2.4669355 53.57861555 1 7
"66" "9" -2.37434266 53.63608846 66 FALSE "1" "9.1" "-2.44039476788213_53.5979532566439" -2.44039476788213 53.5979532566439 "-2.4669355_53.57861555" "E08000001" "00BL" "Bolton" NA -2.4669355 53.57861555 1 7
"67" "9" -2.37434266 53.55981805 67 FALSE "1" "9.1" "-2.44039476788213_53.5979532566439" -2.44039476788213 53.5979532566439 "-2.4669355_53.57861555" "E08000001" "00BL" "Bolton" NA -2.4669355 53.57861555 1 7
"68" "9" -2.44039477 53.52168285 68 FALSE "1" "9.1" "-2.44039476788213_53.5979532566439" -2.44039476788213 53.5979532566439 "-2.4669355_53.57861555" "E08000001" "00BL" "Bolton" NA -2.4669355 53.57861555 1 7
"69" "9" -2.50644688 53.55981805 69 FALSE "1" "9.1" "-2.44039476788213_53.5979532566439" -2.44039476788213 53.5979532566439 "-2.4669355_53.57861555" "E08000001" "00BL" "Bolton" NA -2.4669355 53.57861555 1 7
"70" "9" -2.50644688 53.63608846 70 FALSE "1" "9.1" "-2.44039476788213_53.5979532566439" -2.44039476788213 53.5979532566439 "-2.4669355_53.57861555" "E08000001" "00BL" "Bolton" NA -2.4669355 53.57861555 1 7
